SHIP DRAFT 6.16 m 
 U = 20.00 kts,  HDG =  45.0 deg,  SWH =  6.00 T0 = 11.00 Longcrested                                                   
 COUNT, NCHAN  3001   16
 DT    0.20000
 COUNT  TIME  WAVEHT   SURGE    SWAY   HEAVE    ROLL   PITCH     YAW    ROLL   PITCH     YAW  LONMOT  LATMOT  VERMOT  LONVEL  LATVEL  VERVEL  
 STEP    SEC  METER   METER   METER   METER   DEG     DEG     DEG     DEG/S   DEG/S   DEG/S   METER   METER   METER   M/S     M/S     M/S     
    1    0.000   3.672  -0.550   0.461   2.051  -4.261  -2.223   0.463   0.000   0.000   0.000  -0.672   0.307  -0.258   0.000   0.000   0.000
    2    0.200   3.336  -0.519   0.480   1.893  -4.617  -2.265   0.358  -1.778  -0.209  -0.524  -0.644   0.462  -0.461   0.141   0.772  -1.017
    3    0.400   3.220  -0.476   0.486   1.700  -4.873  -2.246   0.246  -1.282   0.094  -0.563  -0.601   0.603  -0.636   0.214   0.706  -0.876
    4    0.600   3.081  -0.422   0.478   1.478  -5.016  -2.165   0.127  -0.715   0.406  -0.594  -0.545   0.728  -0.775   0.283   0.628  -0.694
    5    0.800   2.809  -0.358   0.459   1.233  -5.025  -2.022   0.006  -0.048   0.716  -0.605  -0.475   0.835  -0.872   0.347   0.531  -0.486
    6    1.000   2.603  -0.285   0.430   0.969  -4.896  -1.820  -0.115   0.646   1.008  -0.602  -0.394   0.920  -0.926   0.406   0.428  -0.270
    7    1.200   2.207  -0.206   0.393   0.693  -4.624  -1.566  -0.230   1.363   1.272  -0.578  -0.302   0.982  -0.938   0.458   0.310  -0.056
    8    1.400   1.282  -0.122   0.351   0.410  -4.208  -1.269  -0.338   2.078   1.485  -0.538  -0.203   1.019  -0.912   0.498   0.185   0.130
    9    1.600   0.355  -0.035   0.304   0.122  -3.652  -0.939  -0.435   2.777   1.649  -0.487  -0.097   1.031  -0.856   0.528   0.057   0.279
   10    1.800   0.020   0.051   0.255  -0.167  -2.975  -0.589  -0.520   3.389   1.747  -0.425   0.012   1.018  -0.781   0.546  -0.064   0.375
   11    2.000  -0.128   0.136   0.206  -0.453  -2.199  -0.233  -0.591   3.879   1.783  -0.356   0.122   0.983  -0.696   0.549  -0.174   0.423
   12    2.200  -0.557   0.216   0.157  -0.734  -1.340   0.117  -0.647   4.296   1.750  -0.277   0.229   0.927  -0.615   0.537  -0.283   0.407
   13    2.400  -0.958   0.290   0.110  -1.004  -0.427   0.448  -0.685   4.565   1.652  -0.193   0.330   0.850  -0.543   0.506  -0.384   0.360
   14    2.600  -1.247   0.356   0.064  -1.259   0.528   0.751  -0.706   4.776   1.519  -0.102   0.423   0.752  -0.485   0.462  -0.491   0.290
   15    2.800  -1.829   0.413   0.018  -1.494   1.500   1.022  -0.709   4.857   1.355  -0.017   0.504   0.635  -0.442   0.407  -0.580   0.212
   16    3.000  -2.556   0.457  -0.027  -1.700   2.447   1.254  -0.694   4.735   1.157   0.075   0.571   0.503  -0.412   0.335  -0.664   0.151
   17    3.200  -2.910   0.490  -0.072  -1.871   3.331   1.444  -0.664   4.422   0.953   0.153   0.623   0.360  -0.390   0.257  -0.716   0.109
   18    3.400  -3.030   0.510  -0.114  -2.001   4.134   1.597  -0.618   4.016   0.762   0.226   0.658   0.209  -0.367   0.177  -0.752   0.116
   19    3.600  -3.206   0.517  -0.155  -2.083   4.827   1.711  -0.561   3.462   0.570   0.286   0.677   0.057  -0.335   0.093  -0.759   0.159
   20    3.800  -3.172   0.511  -0.192  -2.112   5.406   1.789  -0.494   2.896   0.390   0.335   0.679  -0.093  -0.288   0.010  -0.751   0.237
   21    4.000  -2.822   0.493  -0.225  -2.085   5.870   1.835  -0.420   2.320   0.230   0.372   0.665  -0.238  -0.217  -0.069  -0.725   0.352
   22    4.200  -2.575   0.464  -0.252  -2.005   6.210   1.852  -0.343   1.700   0.086   0.384   0.637  -0.370  -0.123  -0.139  -0.659   0.473
   23    4.400  -2.526   0.425  -0.270  -1.871   6.405   1.843  -0.266   0.976  -0.045   0.385   0.596  -0.482   0.001  -0.205  -0.563   0.617
